case_id,vendor_id,vendor_legal_entity,vendor_role,product_or_service,upstream_dependency,common_failure_domain,criterion_id,criterion_name,mandatory_gate,gate_result,weight,score,score_anchor,evidence_id,evidence_source,evidence_date,evidence_status,confidence,reviewer,assumption_or_gap,notes
CASE-2026-001,SAAS-A,智协云科技有限公司,原厂,CRM企业版订阅,阿里云华东2,公有云区域故障,C1,功能适配,no,,0.25,4,完全满足需求且部分超出,EV-A01,POC实测报告,2026-08-10,已验证,高,张三,,核心流程覆盖率92%
CASE-2026-001,SAAS-A,智协云科技有限公司,原厂,CRM企业版订阅,阿里云华东2,公有云区域故障,C2,技术架构,no,,0.20,4,完全满足需求且部分超出,EV-A02,供应商架构白皮书,2026-08-05,已验证,高,李四,,支持多租户与私有化部署
CASE-2026-001,SAAS-A,智协云科技有限公司,原厂,CRM企业版订阅,阿里云华东2,公有云区域故障,C3,安全合规,yes,通过,0.15,5,显著超越需求业界最佳实践,EV-A03,ISO27001与SOC2证书原件,2026-08-01,已验证,高,王五,,证书有效期至2027-06
CASE-2026-001,SAAS-A,智协云科技有限公司,原厂,CRM企业版订阅,阿里云华东2,公有云区域故障,C4,服务支持,no,,0.15,4,完全满足需求且部分超出,EV-A04,SLA承诺函,2026-08-08,已验证,中,张三,,7x24支持含专属CSM
CASE-2026-001,SAAS-A,智协云科技有限公司,原厂,CRM企业版订阅,阿里云华东2,公有云区域故障,C5,商务TCO,no,,0.15,3,基本满足需求无明显短板,EV-A05,书面报价单,2026-08-12,已验证,高,李四,3年TCO按标准折扣估算,报价高于B约8%
CASE-2026-001,SAAS-A,智协云科技有限公司,原厂,CRM企业版订阅,阿里云华东2,公有云区域故障,C6,生态集成,no,,0.05,4,完全满足需求且部分超出,EV-A06,官方集成市场页面,2026-08-09,待验证,中,王五,预建集成数待实测,声称120+预建集成
CASE-2026-001,SAAS-A,智协云科技有限公司,原厂,CRM企业版订阅,阿里云华东2,公有云区域故障,C7,退出便利,no,,0.05,3,基本满足需求无明显短板,EV-A07,合同草案条款,2026-08-11,待验证,中,张三,数据导出格式待确认,支持CSV/API导出
CASE-2026-001,SAAS-B,云链软件股份有限公司,原厂,CRM旗舰版订阅,腾讯云广州,公有云区域故障,C1,功能适配,no,,0.25,5,显著超越需求业界最佳实践,EV-B01,POC实测报告,2026-08-10,已验证,高,张三,,核心流程覆盖率98%含AI辅助
CASE-2026-001,SAAS-B,云链软件股份有限公司,原厂,CRM旗舰版订阅,腾讯云广州,公有云区域故障,C2,技术架构,no,,0.20,3,基本满足需求无明显短板,EV-B02,供应商技术答卷,2026-08-06,已验证,中,李四,,仅支持SaaS多租户模式
CASE-2026-001,SAAS-B,云链软件股份有限公司,原厂,CRM旗舰版订阅,腾讯云广州,公有云区域故障,C3,安全合规,yes,通过,0.15,4,完全满足需求且部分超出,EV-B03,ISO27001证书与等保三级备案,2026-08-02,已验证,高,王五,,SOC2审计进行中
CASE-2026-001,SAAS-B,云链软件股份有限公司,原厂,CRM旗舰版订阅,腾讯云广州,公有云区域故障,C4,服务支持,no,,0.15,3,基本满足需求无明显短板,EV-B04,SLA承诺函,2026-08-08,已验证,中,张三,,工作日支持为主
CASE-2026-001,SAAS-B,云链软件股份有限公司,原厂,CRM旗舰版订阅,腾讯云广州,公有云区域故障,C5,商务TCO,no,,0.15,4,完全满足需求且部分超出,EV-B05,书面报价单,2026-08-12,已验证,高,李四,,3年期锁价含实施费
CASE-2026-001,SAAS-B,云链软件股份有限公司,原厂,CRM旗舰版订阅,腾讯云广州,公有云区域故障,C6,生态集成,no,,0.05,3,基本满足需求无明显短板,EV-B06,官方文档,2026-08-09,已验证,中,王五,,预建集成约60个
CASE-2026-001,SAAS-B,云链软件股份有限公司,原厂,CRM旗舰版订阅,腾讯云广州,公有云区域故障,C7,退出便利,no,,0.05,4,完全满足需求且部分超出,EV-B07,合同草案条款,2026-08-11,已验证,高,张三,,承诺全量数据免费导出与90天协助期
CASE-2026-001,SAAS-C,启元数科（北京）有限公司,原厂,CRM标准版订阅,华为云北京4,公有云区域故障,C1,功能适配,no,,0.25,3,基本满足需求无明显短板,EV-C01,POC实测报告,2026-08-10,已验证,高,张三,,核心流程覆盖率81%需二开
CASE-2026-001,SAAS-C,启元数科（北京）有限公司,原厂,CRM标准版订阅,华为云北京4,公有云区域故障,C2,技术架构,no,,0.20,4,完全满足需求且部分超出,EV-C02,供应商架构白皮书,2026-08-05,已验证,中,李四,,支持私有化与信创环境
CASE-2026-001,SAAS-C,启元数科（北京）有限公司,原厂,CRM标准版订阅,华为云北京4,公有云区域故障,C3,安全合规,yes,不通过,0.15,2,部分满足需求存在可识别差距,EV-C03,尽调访谈纪要,2026-08-03,已验证,高,王五,ISO27001认证仍在申请中,门槛项未过：无有效安全认证
